layer	latent	clinical_exp	model
12	104	"""The presence of excessive or abnormal amounts of a substance, often fluid, or excessive conditions, such as sedation, in a medical context."""	2B
12	1040	"""Medical abbreviations, dosages, and prescription instructions."""	2B
12	1041	"""The digit \""1\"" is consistently activated when it appears as the first digit in a numerical value, often representing a dosage or quantity in medical prescriptions."""	2B
12	1042	"""Special characters or words that indicate a specific context, such as medical instructions, post-status, or a change in condition, often used to provide additional information or clarify a diagnosis."""	2B
12	1043	"""Medical notation and formatting, particularly in reference to medical terminology, abbreviations, and numerical values."""	2B
12	1044	"""The token \""corner\"" is consistently activated across various contexts, suggesting that the model is recognizing the literal meaning of the word \""corner\"" regardless of its semantic role or surrounding words."""	2B
12	1045	"""Medical terms, abbreviations, or keywords related to patient conditions, medications, or medical procedures."""	2B
12	1046	"""The age of a patient, specifically the token \""old\"" in the context of a patient's age description."""	2B
12	1047	"""The token \""Avoid\"" is consistently activated when it appears in a medical context, specifically in instructions or warnings to patients, indicating a pattern of highlighting cautionary advice or prohibited actions."""	2B
12	1048	"""Height measurements, including the word \""height\"" and numerical values with units of feet and inches."""	2B
12	1049	"""Tokens that are part of a medical abbreviation, acronym, or a specific instruction or notation, often denoted by a unique formatting or punctuation, tend to have higher activation levels."""	2B
12	105	"""Numerical values, medical conditions, and specific medical terms or phrases, often denoted by punctuation or formatting that sets them apart from the rest of the text."""	2B
12	1050	"""The token \""1\"" is activated when it is used to denote a specific item or instruction in a list, particularly in the context of medication prescriptions."""	2B
12	1051	"""Tokens that are part of a numerical or sequential identifier, or indicate a specific quantity or time, tend to have higher activation levels."""	2B
12	1052	"""Medication dosages, frequencies, or changes in treatment regimens."""	2B
12	1053	"""Periods (.) used to separate or terminate medical diagnoses, conditions, or prescriptions."""	2B
12	1055	"""Medical terms, particularly those related to procedures, medications, or medical equipment, especially when they are part of a larger medical term or phrase."""	2B
12	1057	"""The model is activated by tokens that are part of medical terms or phrases, particularly those that are nouns or noun phrases, often referring to body parts, medical conditions, or patient information."""	2B
12	1058	"""Medical conditions, diagnoses, or body systems, particularly those related to the kidneys or renal function."""	2B
12	1059	"""Medical management or administration of a patient's condition, treatment, or care."""	2B
12	106	"""Medical procedures, tests, or treatments."""	2B
12	1060	"""Medical terms, particularly those related to medications, medical conditions, laboratory tests, and anatomical locations."""	2B
12	1062	"""The model is activated by phrases indicating a comparison or distinction, often involving differences in technique, patient positioning, or imaging modalities."""	2B
12	1063	"""Time-related phrases or events surrounding hospital admission or discharge."""	2B
12	1064	"""Medical examination and diagnostic terms, particularly those related to patient assessment and medical history."""	2B
12	1065	"""The token \""instead\"" is consistently activated across various contexts, indicating that the model is recognizing this token as a key indicator of a change in course, plan, or action, often used to contrast two alternatives."""	2B
12	1066	"""The presence of the term \""SOCIAL\"" in the text, which consistently indicates the start of a section containing information about a patient's personal life, relationships, and lifestyle."""	2B
12	1067	"""Numbered list items, particularly the numbers and periods immediately following them."""	2B
12	1068	"""Medical terms, abbreviations, and symbols, particularly those related to medical devices, procedures, and diagnostic tests."""	2B
12	1069	"""The term \""sequence\"" in a medical context, often referring to a series of events, procedures, or imaging protocols."""	2B
12	1071	"""Punctuation marks, particularly those used in medical notation and abbreviation, such as periods and commas, as well as units of measurement like milligrams (mg)."""	2B
12	1072	"""Initiating or starting a treatment, medication, or medical process."""	2B
12	1073	"""The model is activated by phrases or words that indicate medical treatment, recommendations, or actions taken by medical staff, often in the context of patient care or communication."""	2B
12	1074	"""Medical terms or conditions, often related to diagnoses, symptoms, or test results."""	2B
12	1076	"""Non-steroidal anti-inflammatory drugs (NSAIDs) and other pain medications."""	2B
12	1077	"""The presence of the word \""Not\"" in a sentence, often used to indicate negation or absence of a condition."""	2B
12	1078	"""Post-operative instructions or advice."""	2B
12	1079	"""Specific medical conditions, particularly those related to serious or critical diagnoses."""	2B
12	108	"""Numerical values, particularly those representing medication dosages or quantities."""	2B
12	1080	"""Symptoms or clinical findings, particularly those related to infection, cardiovascular health, or general patient condition."""	2B
12	1081	"""The medication \""Coreg\"" (carvedilol)."""	2B
12	1082	"""The word \""nature\"" is consistently activated when referring to the characteristics or specifics of a medical condition, injury, or situation."""	2B
12	1083	"""The verb \""attribute\"" is consistently activated, indicating that the model is recognizing and highlighting instances where a cause or reason is being assigned to a particular condition, symptom, or event."""	2B
12	1086	"""The presence of the word \""favor\"" or its variants, indicating a preference or inclination towards a particular diagnosis, treatment, or interpretation."""	2B
12	1087	"""Decimal points in numerical values."""	2B
12	1088	"""Medical terms or phrases, particularly those related to diagnoses, treatments, or medical concepts."""	2B
12	1089	"""The model is activated by tokens related to the division or separation of objects, substances, or concepts, often in a medical context, such as dividing doses, splitting pills, or fragmenting objects."""	2B
12	109	"""The verb \""lying\"" in the context of a patient's position or state, often in a bed or on a couch."""	2B
12	1091	"""The model is activated by phrases indicating a reason or cause for a hospital visit, admission, or medical procedure."""	2B
12	1092	"""Possessive or attributive relationships, often involving pronouns or articles, typically indicating a connection between a noun or entity and a preceding or following phrase."""	2B
12	1093	"""The term \""hemorrhoids\""."""	2B
12	1094	"""Conjunctions or transitional words/phrases that connect ideas or clauses, often indicating a contrast or addition."""	2B
12	1095	"""Medical terms or procedures, often abbreviated or part of a larger term."""	2B
12	1098	"""The term \""patient\"" is consistently activated across various medical contexts, indicating its importance in representing a medical record or patient information."""	2B
12	11	"""Tokens related to medical procedures, treatments, or time stamps."""	2B
12	110	"""Medical terms, abbreviations, or test names, particularly those related to laboratory results, diagnoses, or medical procedures."""	2B
12	1100	"""Abbreviations for medical terms, dosages, or frequencies, often used in prescriptions or medical procedures."""	2B
12	1101	"""Locations where medical care or interventions occur, often outside of a traditional hospital setting."""	2B
12	1102	"""Musculoskeletal-related diagnoses, symptoms, or medical procedures."""	2B
12	1103	"""Punctuation marks, particularly periods, and sometimes the text immediately preceding or following them, often indicate the end of a sentence or a section, and are activated when they appear in a context that suggests a transition or a separation between different pieces of information."""	2B
12	1104	"""Abnormal or impaired physiological conditions, particularly those related to organ function or medical test results."""	2B
12	1105	"""The model is activated by phrases that indicate a note or observation is being made, often in a medical context, particularly when the word \""made\"" or \""note\"" is present, as well as certain medical procedures or conditions, especially those related to the urinary tract."""	2B
12	1106	"""Medical terms or conditions, often related to specific body systems or diseases."""	2B
12	1107	"""Oxygen saturation values."""	2B
12	1108	"""Numerical values, particularly those representing time, quantities, or vital signs."""	2B
12	1109	"""Medical complications, procedures, or equipment, particularly those related to surgical interventions, infections, or device management."""	2B
12	111	"""Medical terms, particularly those related to medications, medical history, and medical procedures."""	2B
12	1110	"""Phrases related to informed consent or certification of medical procedures."""	2B
12	1111	"""Verbal communication or speech-related expressions."""	2B
12	1112	"""Height measurements in feet and inches."""	2B
12	1113	"""Medical terminology, lab values, and medication instructions."""	2B
12	1114	"""Medical treatment or intervention, often abbreviated as \""tx\""."""	2B
12	1115	"""Periods and numbers followed by periods, often indicating medical diagnoses, medications, or medical history items."""	2B
12	1116	"""Medical concepts, particularly those related to patient care, treatment, and health status, especially when describing risks, complications, or management strategies."""	2B
12	1117	"""Verb forms or words indicating action, existence, or state, often describing medical conditions, symptoms, or procedures."""	2B
12	1118	"""The presence of an arrow symbol \""->\"" or a hyphen \""-\"" followed by a greater-than symbol \"">\"" within the delimiters indicates a high activation level, suggesting that the model is responding to the notation of a medical diagnosis or condition, often with additional information or specification."""	2B
12	1119	"""Specific numerical values or quantities, often related to medication dosages, weight limits, or time intervals, that are part of medical instructions or guidelines."""	2B
12	112	"""Changes in medical condition or symptoms, often indicating improvement or worsening."""	2B
12	1120	"""Discharge or treatment instructions involving the patient's home environment."""	2B
12	1121	"""Medical terms or conditions, often with a suffix or part of a suffix."""	2B
12	1122	"""Tokens that are part of a dosage or quantity, often denoted by a symbol or abbreviation, or are part of a medical notation or abbreviation."""	2B
12	1124	"""The model is activated by phrases indicating a condition or state that needs to be achieved or maintained, often with a temporal component, typically introduced by \""until\"" and followed by a desired outcome, such as stability, resolution, or healing."""	2B
12	1125	"""Names of medical conditions, procedures, or devices, often including proper nouns or eponyms."""	2B
12	1126	"""Indicators of uncertainty, incompleteness, or anticipation of future events or information, often involving words or phrases that express a lack of knowledge or a need for further action."""	2B
12	1127	"""The token \""old\"" is consistently activated when describing pre-existing or past medical conditions, injuries, or scars."""	2B
12	1128	"""Numerical values, particularly those denoted by the digit \""1\"" and often associated with quantities or measurements, as well as certain phrases or words that appear to be part of a specific formatting or notation system."""	2B
12	1129	"""Physical activities or exertions, especially those involving walking or climbing stairs, and their effects on the patient's condition."""	2B
12	113	"""Laboratory values and medical test results, often including units and numerical values."""	2B
12	1130	"""Options for receiving or picking up narcotic prescriptions."""	2B
12	1132	"""Prepositions indicating movement, direction, or association, often used in the context of medical procedures, referrals, or interactions."""	2B
12	1133	"""Blood transfusions or blood products."""	2B
12	1134	"""Examination findings and body systems, particularly when explicitly mentioned or implied through the use of colons or other punctuation."""	2B
12	1135	"""Numerical values, medication names, and specific times of day."""	2B
12	1136	"""The model is activated by phrases that convey a balance or trade-off between two concepts, often involving risks and benefits, particularly in the context of medical treatment or decision-making."""	2B
12	1137	"""Ventilator weaning or extubation, and mitral regurgitation."""	2B
12	1138	"""Geographic locations, particularly countries or regions outside of the US, and travel-related phrases."""	2B
12	1139	"""The model is activated by medical terminology, particularly abbreviations or words related to medical conditions, treatments, or procedures."""	2B
12	114	"""Events marking the end of a hospital stay, including discharge, death, or expiration."""	2B
12	1140	"""The first-person plural pronoun \""We\"" is consistently activated, indicating that the pattern is related to the use of this pronoun, likely representing a healthcare provider or medical team's narrative voice."""	2B
12	1141	"""The colon symbol \"":\""."""	2B
12	1142	"""Medical terms or concepts, particularly those related to diagnoses, medications, or medical procedures."""	2B
12	1143	"""The model is activated by units of measurement, quantities, or numerical values, often in a medical context."""	2B
12	1144	"""The presence of words or phrases that convey a sense of confidence or certainty in a patient's condition or treatment outcome, often used to describe test results, medical decisions, or patient status."""	2B
12	1145	"""Medication dosages or quantities."""	2B
12	1146	"""The digit \""1\"" is consistently activated when it appears as part of a numerical value, often in a medical context, such as medication dosages or numerical lists."""	2B
12	1147	"""Abbreviations or partial words that are part of medical terminology or hospital procedures."""	2B
12	1148	"""The preposition \""in\"" and sometimes the definite article \""the\"" preceding it, often indicating a location or context, tend to have high activation levels when part of a phrase describing a setting or situation."""	2B
12	1150	"""The presence of a number or a blank space within the delimiters << >>, often indicating a quantity or dosage in a medical prescription or instruction."""	2B
12	1151	"""Radiological findings of stranding, often indicative of inflammation or fluid accumulation, in various body regions."""	2B
12	1152	"""Medication prescriptions or dispensing information, often including dosage and frequency."""	2B
12	1153	"""The unit of measurement \""feet\"" is consistently activated across various contexts, suggesting that the model is recognizing and responding to this specific unit of measurement."""	2B
12	1155	"""The presence of the token \""cold\"" in a medical context, often related to physical examination findings, medical procedures, or patient symptoms."""	2B
12	1156	"""Tokens that are part of a medical term, abbreviation, or a symbol used to indicate the start of a medical term or section."""	2B
12	1157	"""Medications or supplements, particularly those related to diabetes management or vitamins."""	2B
12	1158	"""The model is activated by tokens that appear to be medical terms, abbreviations, or keywords, often related to medical conditions, procedures, or medications, but also by tokens that seem to be errors or typos in the text, such as \""entery\"" or \""lox\"" which may be a misspelling of \""levofloxacin\"", and tokens that are not medical terms but are still highlighted as important, such as \""left\"" or \""feb\"", suggesting that the model is also sensitive to tokens that are part of a specific format or structure, such as dates or anatomical locations."""	2B
12	1159	"""The model is activated by the concept of a \""range\"" of values, often in a medical context, such as laboratory results or therapeutic targets."""	2B
12	1160	"""The term \""version\"" is consistently activated across various medical contexts, suggesting that the model is recognizing it as a significant term, possibly due to its association with medical records, documentation, or treatment variations."""	2B
12	1161	"""Medical test sources or devices."""	2B
12	1162	"""Medical conditions or diagnoses."""	2B
12	1164	"""Medication dosages."""	2B
12	1165	"""The token \""mark\"" or \""marked\"" is consistently activated when it is used to describe a notable or significant characteristic, event, or change in a patient's condition."""	2B
12	1166	"""The presence of \""Ch\"" is highly activated when it is part of the word \""Chlamydia\""."""	2B
12	1167	"""The model is activated by pronouns referring to a male subject, particularly \""he\"" and \""his\"", often in the context of family relationships or personal narratives."""	2B
12	1168	"""Exponents or squared units of measurement."""	2B
12	1169	"""Numerical values, particularly those indicating measurements or comparisons, often in the context of medical data."""	2B
12	117	"""Medical abbreviations or dosage instructions."""	2B
12	1170	"""The model is activated by tokens that are part of medical abbreviations, prescriptions, or medical terminology, often denoted by a colon or appearing in a specific format."""	2B
12	1171	"""The term \""overall\"" or phrases indicating a benefit or instruction, often denoted by \""Sig\"", which is likely an abbreviation for \""Signature\"" or \""Signa\"" in medical notation, indicating a doctor's instructions or a summary assessment."""	2B
12	1172	"""Dental-related findings or procedures."""	2B
12	1173	"""Medical procedures or interventions, particularly those involving adjustments or manipulations, such as titration, extubation, or surgical interventions."""	2B
12	1175	"""Prepositions and articles preceding or following a noun or a noun phrase, often indicating possession or relationship."""	2B
12	1176	"""The model is activated by tokens that are part of numerical values, particularly years and dates."""	2B
12	1177	"""Phrases indicating consistency or correlation between medical findings and diagnoses or conditions."""	2B
12	1179	"""Medical scales or scoring systems, particularly those related to neurological conditions."""	2B
12	118	"""Numerical ranges or comparisons, often indicated by words like \""ranged\"", \""from\"", \""to\"", \""between\"", and \""and\"", typically used to describe vital signs or laboratory values."""	2B
12	1180	"""Medical findings or diagnoses, often with a specific timing or nature (e.g. incidental, acute, old, chronic, elective, or urgent)."""	2B
12	1181	"""Changes or trends in a patient's condition, often indicated by a preposition \""in\"" and typically describing an increase or decrease in a particular metric or symptom."""	2B
12	1182	"""Medical concepts or treatments, particularly those related to oxygen therapy or compression injuries/fractures."""	2B
12	1183	"""The activation levels are high when \""this\"" refers to a specific medical treatment, procedure, or condition being tolerated or managed, and lower when \""this\"" is used in a more general or ambiguous context."""	2B
12	1184	"""Medication names or medical procedures/treatments."""	2B
12	1185	"""The digit \""5\"" is consistently activated across various contexts, suggesting that the model is recognizing the digit \""5\"" as a significant pattern, particularly in relation to medication dosages."""	2B
12	1186	"""Omitted or redacted text."""	2B
12	1187	"""Body parts or locations."""	2B
12	1188	"""The activation patterns are associated with the first item in a numbered list, particularly the number \""1\"" and the period \"".\"" that follows it, indicating that the model is recognizing the format of a list rather than the content itself."""	2B
12	1189	"""The model is activated by tokens that are part of medical terminology, particularly those that describe medical procedures, observations, or test results."""	2B
12	119	"""Medical terms, diagnoses, or procedures, often including words that are part of a medical specialty or subfield."""	2B
12	1190	"""The model is activated by tokens that are part of a narrative or descriptive passage, particularly those that introduce or continue a sentence or phrase, often with a focus on medical history, symptoms, or procedures."""	2B
12	1191	"""Medication instructions or dosages."""	2B
12	1193	"""Medical abbreviations, dosages, and treatment instructions."""	2B
12	1194	"""The term \""digital\"" is highly activated when referring to physical examination techniques, medical devices, or body parts, but not when used in the context of \""digitalized\"" as in the process of administering digitalis."""	2B
12	1195	"""The model is activated by adverbs or adjectives that describe the extent or degree of a condition, often in a medical context, as well as words that indicate a general or overall assessment."""	2B
12	1196	"""The suffix \""-ment\"" or the word \""meniscus\"" often indicates a high activation level, suggesting that the model is sensitive to words related to mental status or meniscus, but the high activation levels are more consistently associated with the suffix \""-ment\"" which is often used to describe a patient's mental status."""	2B
12	1197	"""The token \""display\"" or its variants (\""displays\"", \""displayed\"") are consistently activated when referring to the presentation or visualization of medical images or data."""	2B
12	1198	"""Patient understanding or comprehension of a situation, risk, or information."""	2B
12	12	"""Urgent or emergency actions or conditions, often involving bleeding or worsening symptoms."""	2B
12	120	"""The model is activated by tokens indicating body sides or locations, particularly \""left\"" and \""right\"", as well as specific anatomical references."""	2B
12	1200	"""Hematological parameters and medical abbreviations."""	2B
12	1201	"""Actions, interactions, or services provided by or involving healthcare professionals or entities."""	2B
12	1203	"""Watching or viewing activities, particularly those involving television or video."""	2B
12	1204	"""Quoted speech or phrases, often indicating direct quotes from patients or others."""	2B
12	1205	"""The term \""policy\"" in medical contexts."""	2B
12	1206	"""Terms related to cardiovascular conditions, particularly myocardial infarction, and other medical conditions or procedures."""	2B
12	1207	"""The model is activated by tokens that indicate medical actions, diagnoses, or significant events, often denoted by colons or specific keywords that signal importance in medical records."""	2B
12	1208	"""Tokens that are part of a medical or clinical context, particularly those related to diagnoses, medications, medical procedures, or patient care instructions."""	2B
12	1209	"""The model is activated by tokens that are part of phrases indicating a degree or extent, often in a medical context, such as \""nearly\"", \""loss\"", or \""profit\"", which suggest a quantitative or qualitative measure."""	2B
12	121	"""The presence of a specific medication name, particularly \""hydroxyzine\"", is the primary pattern associated with high activation levels."""	2B
12	1210	"""Actions or events related to medical procedures or interventions."""	2B
12	1211	"""The token \""represent\"" or its variants (\""representing\"", \""represents\"") when used to indicate that a medical finding or image is indicative of an underlying condition or diagnosis."""	2B
12	1212	"""Medical terminology, particularly medication forms and surgical procedures."""	2B
12	1214	"""Conditional or future actions or states, often expressed through modal verbs like \""would\"" or \""will\""."""	2B
12	1215	"""The presence of a phrase or sentence that is being emphasized or highlighted, often indicating a specific detail or instruction in a medical context."""	2B
12	1216	"""Antibiotic names or their prefixes."""	2B
12	1217	"""The presence of a specific notation or indicator, often denoted by \""(*\"" or \""*\"", which appears to be used to highlight or draw attention to certain information, such as medication non-adherence, notable findings, or specific values."""	2B
12	1218	"""Post-operative hair washing instructions."""	2B
12	1219	"""Medical abbreviations or terms, often related to procedures, diagnoses, or medications."""	2B
12	122	"""Abbreviations or words related to medication instructions, dosing frequencies, or days of the week."""	2B
12	1220	"""Legal or litigious concepts, including lawsuits, charges, and torts, as well as words related to the legal profession, such as lawyers and malpractice."""	2B
12	1221	"""The model is activated by phrases indicating a recommendation or instruction that something \""should be\"" or \""should have\"" a particular action taken, often in a medical context."""	2B
12	1222	"""Collaborative interactions or agreements between medical professionals, patients, or their families."""	2B
12	1223	"""Anatomical locations or spatial relationships, often involving the aspect or part of a body structure."""	2B
12	1224	"""Direct speech or quotation marks."""	2B
12	1229	"""Punctuation marks and tokens that indicate the start or end of a sentence, section, or a specific piece of information, often related to medical records or reports."""	2B
12	123	"""The symbol \""+=\"" in a medical context, specifically in physical examination descriptions."""	2B
12	1230	"""The token \""vegetables\"" is consistently activated when it appears in a context emphasizing nutritious food options, particularly in relation to a healthy diet."""	2B
12	1231	"""The activation patterns are associated with the presence of specific formatting or structural elements in the text, particularly the \""IMPRESSION\"" section and other formatting markers, rather than the semantic meaning of the text itself."""	2B
12	1232	"""Medical devices, body parts, or objects that are being directly examined, manipulated, or treated."""	2B
12	1233	"""The token \""mid\"" is highly activated when referring to a middle or intermediate location, often in a medical context, such as midline incisions, mid segments of arteries, or midday, but the activation is not solely dependent on the word \""mid\"" itself, but rather its context and the surrounding words."""	2B
12	1234	"""Medical abbreviations and notation, particularly those related to diagnoses, staging, and medication instructions."""	2B
12	1235	"""Medical interventions, procedures, or medications."""	2B
12	1236	"""Medical conditions, diagnoses, or procedures, often with a focus on vascular or physical abnormalities."""	2B
12	1237	"""Medical abbreviations, codes, or keywords, often followed by a colon, that are used to document patient information, diagnoses, treatments, or recommendations."""	2B
12	1238	"""Medication dosages."""	2B
12	1239	"""The auxiliary verb \""was\"" is consistently activated when describing a medical procedure or action, indicating the model's focus on the procedural narrative."""	2B
12	124	"""Numerical values, often representing laboratory results, medication dosages, or time stamps."""	2B
12	1240	"""Medication dosages involving the quantity \""10\""."""	2B
12	1241	"""The model is activated by tokens that are part of medical terminology, diagnoses, or specific details within medical narratives, but also by tokens that are part of a sequence of numbers or a specific sequence of words that appear to be part of a template or a format, such as \""JOB#\"", \""HISTORY OF PRESENT ILLNESS\"", or \""said yes to some questions\""."""	2B
12	1242	"""Actions or decisions taken by medical staff, often involving the verbs \""have\"" or \""had\""."""	2B
12	1243	"""Empty tokens between delimiters are highly activated, suggesting that the model is responding to the formatting or structure of the text, specifically the presence of delimiters, rather than the actual content."""	2B
12	1244	"""Patient wishes or preferences, especially regarding medical treatment or end-of-life care, often involving the verb \""be\""."""	2B
12	1245	"""The token \""failed\"" or the phrase \""Failure to\"" when describing a patient's response to treatment, therapy, or medical procedure."""	2B
12	1246	"""Actions or states of change, cessation, or inability, often related to medical treatment or patient behavior."""	2B
12	1247	"""The presence of a \""10\"" or a blank space immediately following a \""<<\"" delimiter, often indicating a quantity or dosage in a medical prescription or treatment plan."""	2B
12	1248	"""Medical concepts, diagnoses, treatments, or substances, often in the context of their effects or interactions."""	2B
12	1249	"""Medical codes or terms, particularly those related to patient status or specific medical conditions."""	2B
12	125	"""The token \""fine\"" is consistently activated when referring to precise or delicate movements, aspirations, or cuts, often in a medical context."""	2B
12	1251	"""Sections or categories of patient information, particularly those related to medical history, social history, and physical exams."""	2B
12	1252	"""Medical instructions, medication names, and medical test results."""	2B
12	1253	"""Asterisks and periods surrounding or adjacent to phrases indicating symptoms or conditions that require immediate medical attention."""	2B
12	1254	"""Medical terms, abbreviations, or words related to medical procedures, diagnoses, or instructions."""	2B
12	1255	"""Punctuation marks, particularly periods and apostrophes, are consistently activated, suggesting that the model is recognizing and responding to these specific characters."""	2B
12	1257	"""The model is activated by tokens that indicate actions, instructions, or changes in a patient's condition or treatment, often in the context of medical procedures or interventions."""	2B
12	1258	"""A patient's marital status, specifically living with their husband."""	2B
12	1259	"""Medical terms, measurements, or procedural details, often related to diagnoses, treatments, or medications."""	2B
12	126	"""Section headings or titles in medical records."""	2B
12	1260	"""The model is activated by phrases or sentences that describe medical actions, events, or findings, often in a narrative or sequential context, with a focus on the verb or action being performed."""	2B
12	1261	"""Causal explanations or justifications, often introduced by words like \""why\"" or \""reason\""."""	2B
12	1262	"""Medical terminology, particularly medication instructions, dosages, and medical abbreviations."""	2B
12	1263	"""Numerical values, particularly those related to physical measurements and vital signs."""	2B
12	1265	"""The presence of a doctor's signature or initials, often denoted by \""MD\"" and sometimes accompanied by other identifying information such as \""Sex\""."""	2B
12	1266	"""Medication names or medical terms related to respiratory conditions, particularly those involving inhalers or nebulizers, and also terms related to heart conditions, specifically those involving gradients or valve areas."""	2B
12	1267	"""The word \""Despite\"" indicating a contrast or unexpected outcome in a medical context."""	2B
12	1268	"""Medical terms or phrases, often related to diagnoses, treatments, or medical procedures."""	2B
12	1269	"""Medical terms or phrases, often related to diagnoses, conditions, or medical concepts."""	2B
12	127	"""Time or numerical values, often indicating a specific quantity, duration, or measurement."""	2B
12	1270	"""Medical notation, particularly units, measurements, and abbreviations, often in the context of laboratory results or medication instructions."""	2B
12	1272	"""Medical terms, particularly those related to diagnoses, medications, or medical procedures."""	2B
12	1273	"""Medical procedures, conditions, or complications."""	2B
12	1274	"""The verb \""reflect\"" or its variants, indicating a change or consequence of a condition or test result."""	2B
12	1276	"""Sentence-initial or punctuation tokens, particularly those that begin a sentence or follow a period."""	2B
12	1277	"""Laboratory test names, medical terminology, and specific values or units of measurement."""	2B
12	1278	"""Medical terms or phrases related to cognitive or neurological functions, particularly those describing patient abilities or impairments."""	2B
12	1279	"""Medical abbreviations or terms, often related to medical conditions, treatments, or measurements."""	2B
12	1280	"""Medical conditions, diagnoses, procedures, or clinical findings, often with a focus on specific symptoms or body systems."""	2B
12	1281	"""Time-related information, including durations, time frames, and numerical values indicating time."""	2B
12	1282	"""Units of measurement, medication dosages, and specific quantities or times, as well as terms related to infants or children."""	2B
12	1283	"""Section headers or titles in clinical notes, particularly those that introduce a new section or subsection."""	2B
12	1284	"""Numerical labels or enumeration in a list, often denoted by a number followed by a period or parenthesis."""	2B
12	1285	"""The presence of a closing parenthesis or quotation mark, often indicating the end of a list, a parenthetical remark, or a quotation."""	2B
12	1286	"""Empty or numeric tokens within delimiters, often corresponding to medication quantities or numbers in medical records."""	2B
12	1288	"""Units of measurement, quantities, or ordinal values."""	2B
12	1289	"""Medical terms, abbreviations, or specific medical concepts, particularly those related to diagnoses, procedures, or medical specialties."""	2B
